epoch,time(s),train_loss,test_loss,test_error(%)
001,00165,1.636064,0.00162,56.31
002,00165,1.194348,0.00122,38.85
003,00165,0.944057,0.00096,29.06
004,00165,0.871072,0.00084,23.75
005,00165,0.849863,0.00093,23.97
006,00165,1.279430,0.00081,25.72
007,00165,0.775007,0.00075,20.22
008,00165,0.736763,0.00076,19.17
009,00165,0.747680,0.00072,18.34
010,00165,0.696613,0.00064,16.52
011,00165,0.652935,0.00065,15.62
012,00165,0.653404,0.00064,15.93
013,00165,0.604908,0.00062,14.85
014,00165,0.592702,0.00061,16.31
015,00165,0.634426,0.00061,14.56
016,00165,0.578083,0.00060,14.15
017,00165,0.567968,0.00056,13.29
018,00165,0.543016,0.00054,12.99
019,00165,0.534399,0.00057,12.44
020,00165,0.539056,0.00051,11.50
021,00165,0.514136,0.00050,11.46
022,00165,0.452323,0.00047,11.15
023,00165,0.510816,0.00046,10.97
024,00165,0.443171,0.00045,10.82
025,00165,0.442494,0.00043,11.20
026,00165,0.427307,0.00039,10.17
027,00165,0.402950,0.00040,9.62
028,00165,0.368492,0.00039,9.08
029,00165,0.352607,0.00036,9.07
030,00165,0.349587,0.00035,8.86
031,00165,0.312005,0.00032,8.10
032,00165,0.299637,0.00033,8.33
033,00165,0.283250,0.00032,7.72
034,00165,0.300360,0.00032,8.06
035,00165,0.299773,0.00031,7.72
036,00000,0.000000,0.00000,24.67
