epoch,time(s),train_loss,test_loss,test_error(%)
001,00169,1.748374,0.00159,54.79
002,00170,1.204003,0.00115,36.63
003,00170,0.896952,0.00083,25.01
004,00170,0.763018,0.00075,22.73
005,00170,1.025454,0.00075,24.01
006,00170,0.977163,0.00066,22.02
007,00170,0.879699,0.00069,21.63
008,00170,0.591472,0.00061,15.23
009,00170,0.538671,0.00059,16.93
010,00170,0.475763,0.00057,14.79
011,00170,0.494324,0.00068,18.03
012,00170,0.938813,0.00059,19.24
013,00170,1.041869,0.00072,23.46
014,00170,0.696429,0.00050,17.45
015,00170,0.397650,0.00048,13.44
016,00170,0.450864,0.00052,13.18
017,00170,0.734657,0.00062,19.17
018,00170,0.666185,0.00051,16.52
019,00170,0.704155,0.00053,17.39
020,00170,0.698760,0.00048,15.90
021,00170,0.469057,0.00042,13.24
022,00170,0.365074,0.00041,11.06
023,00170,0.377029,0.00044,10.99
024,00170,0.731246,0.00049,15.95
025,00170,0.713196,0.00045,14.54
026,00170,0.438299,0.00045,12.32
027,00170,0.438015,0.00033,10.99
028,00170,0.284564,0.00039,10.19
029,00170,0.310552,0.00036,9.28
030,00170,0.255713,0.00036,9.36
031,00170,0.318377,0.00038,9.01
032,00170,0.263422,0.00035,9.04
033,00170,0.306487,0.00034,9.83
034,00170,0.251830,0.00032,9.17
035,00170,0.234216,0.00029,8.47
036,00170,0.198021,0.00031,8.71
037,00170,0.172501,0.00028,7.85
038,00170,0.194931,0.00026,7.65
039,00170,0.155326,0.00024,7.36
040,00170,0.164669,0.00026,7.30
041,00170,0.133642,0.00024,7.17
042,00170,0.106623,0.00023,7.11
043,00170,0.094286,0.00022,6.74
044,00170,0.082666,0.00021,6.17
045,00170,0.087479,0.00021,6.56
046,00170,0.069837,0.00019,6.10
047,00170,0.063214,0.00020,6.33
048,00170,0.053520,0.00019,5.98
049,00170,0.042891,0.00019,6.00
050,00170,0.053394,0.00019,5.96
051,00000,0.000000,0.00000,18.64
